class,mean_spectral_flatness,mean_spectral_centroid,low_mean_amp,low_max_amp,mid_mean_amp,mid_max_amp,high_mean_amp,high_max_amp
dog_bark,0.00073746855564343,2455.4132694000655,0.23089435366028885,4.3420267,2.655309036842905,296.16907,0.06975507862906867,56.605568
dog_bark,0.0008938532018911029,2388.8131406324205,0.22112058452710145,5.8750505,2.5838511991866153,177.14873,0.038945954744562375,36.001965
dog_bark,0.0009869857774684415,2497.4248565697676,0.17070459734027585,1.9529135,2.392669175624103,157.64897,0.0403852143676888,49.933014
dog_bark,0.000873833048967836,2391.9683743806445,0.18535444684022534,3.1097233,2.6861286168240217,154.07558,0.03945602698834833,54.846775
children_playing,0.004617947866790928,3140.3882959155476,0.023154315131835596,0.5996386,0.795161013417703,67.88378,0.06409837419154851,40.645557
children_playing,0.0032996416709581955,3022.305690102138,0.01918483790097147,0.1805553,0.9478575273410149,100.230316,0.07623427900229958,18.091452
children_playing,0.003586490836920696,2876.5897457886413,0.049670072413814104,0.6399824,1.5720451660122543,125.929214,0.10517165950436357,50.837254
children_playing,0.002984878950085058,2941.743061272395,0.060212886735620696,2.2733774,2.242900200012619,258.92096,0.18177754589765768,70.065895
children_playing,0.00580631515778921,3201.5076381869458,0.04801486165606935,0.57627875,1.425145558494604,157.28499,0.1232163119326429,43.985405
children_playing,0.0057728984392405374,3164.7569694798453,0.04274527245573543,0.30955476,0.7634725810887968,56.040653,0.06447555213589888,48.236412
children_playing,0.008137272312911165,3329.030528183682,0.027697584104763997,0.5444901,0.6629621245540022,56.450203,0.043957614589587704,12.270997
children_playing,0.011305817846036046,3493.67792292582,0.028347612613185014,0.37436688,0.35412041398985233,12.466284,0.024251665297947242,2.61774
engine_idling,0.00030774297814839855,1771.3165092903187,22.78331780810476,117.04482,2.134116090640103,14.939585,0.166663605005235,9.091672
engine_idling,0.00030748235145912746,1766.1619108774355,22.995251029712566,113.77869,2.089871794957084,14.315138,0.16544682246049755,10.257512
engine_idling,0.0002877141343956084,1788.0682958223088,24.097542530192413,121.280426,2.052833902180359,19.452446,0.17130285400991177,10.276416
engine_idling,0.00025656621146481485,1741.2390905609918,24.819892223555108,115.39828,2.094250348214303,18.96012,0.16871422941447575,11.267508
engine_idling,0.0002728165376195819,1761.6941433820282,24.30175679859044,107.99262,2.072227401251238,15.436583,0.16831039999776354,10.71745
engine_idling,0.0002718425515290026,1765.9515282013426,24.014005429900212,106.235535,2.01820052292571,13.091783,0.16689674302946095,10.45777
