class,mean_spectral_flatness,mean_spectral_centroid,low_mean_amp,low_max_amp,mid_mean_amp,mid_max_amp,high_mean_amp,high_max_amp,mean_mfcc_0,mean_mfcc_1,mean_mfcc_2,mean_mfcc_3,mean_mfcc_4,mean_mfcc_5,mean_mfcc_6,mean_mfcc_7,mean_mfcc_8,mean_mfcc_9,mean_mfcc_10,mean_mfcc_11,mean_mfcc_12,mean_mfcc_13,mean_mfcc_14,mean_mfcc_15,mean_mfcc_16,mean_mfcc_17,mean_mfcc_18,mean_mfcc_19
engine_idling,9.617932694690102e-05,1217.554471554077,4.489472082967432,19.804045,0.4682151912101176,3.2813048,0.0161563507253277,0.609681,-415.17087,207.11908,-30.185726,21.180763,2.0810306,15.291173,8.701095,14.84952,12.542927,9.71927,17.944801,6.8247876,6.484971,0.33063364,2.2101147,-1.5587999,-0.87928194,-1.0710713,-2.925913,0.52813995
engine_idling,9.515381770568715e-05,1244.5030832461016,4.255563131288485,17.171371,0.4699588787625745,6.6750774,0.01628010444272215,0.56522816,-416.732,208.89702,-33.00582,22.45811,0.7158335,16.621489,7.717903,14.394261,11.272166,9.507991,17.343388,6.244204,6.543722,0.09870754,1.7894776,-2.9561563,-1.0336455,-1.1754044,-3.7469776,-0.61296886
engine_idling,9.82684971549656e-05,1261.0404052934798,4.025506134279868,19.469568,0.46210948976567306,3.5987275,0.016470438252901287,0.6274448,-416.77908,207.6447,-32.47445,20.850197,2.6716359,13.047317,8.674728,15.006348,12.164438,9.209876,15.227443,4.341809,6.571449,1.279177,1.2884711,-4.42303,-3.3065524,-1.2820642,-2.6908996,-0.0037929048
engine_idling,0.00010230365480426971,1296.39616491306,3.82249407327246,15.19289,0.4653551902067942,4.2556343,0.016801607072563063,0.56789017,-417.74036,209.66039,-36.173904,24.490423,-0.24599878,15.755295,7.241694,15.846069,10.386765,9.379618,14.796723,4.3806577,6.414413,0.71409076,1.9353232,-5.397083,-3.749202,-2.5013256,-2.4810808,-0.30499944
engine_idling,9.679773953355331e-05,1290.352712658272,3.943443459567771,16.960035,0.4729615453790584,3.1854463,0.01715577647708486,0.6400962,-415.89536,209.62425,-36.24421,23.009483,0.59258366,14.806389,7.971021,14.919057,10.743403,9.224033,15.758362,4.3043838,5.8928065,0.39070833,2.0944438,-4.9859214,-4.150681,-2.3207283,-2.5318596,0.3456554
engine_idling,9.117228467190177e-05,1275.9293938901951,3.997057866091685,16.94577,0.4723477218378819,2.7330008,0.016899534231963335,0.65806246,-415.7285,209.14719,-34.5632,21.585335,1.079466,13.585015,8.396355,14.7937765,11.511352,8.652593,15.423595,3.892807,5.324694,0.5457641,2.38192,-4.4716425,-4.184129,-2.0881555,-2.9267602,0.32972512
engine_idling,9.064924216410021e-05,1272.083993947161,3.986246395217956,17.33368,0.4688122693418289,3.9198627,0.016517180007550536,0.5353831,-416.16638,208.33502,-32.989796,21.67043,0.82660645,13.479581,8.330392,15.116925,12.118904,8.222346,14.620517,3.669406,5.7942023,0.80644363,2.7060382,-4.100604,-4.3975215,-2.5506873,-3.6659331,0.28406462
engine_idling,9.033087015249042e-05,1246.379570974243,4.726262811036551,31.730055,0.4725542685309508,4.1841345,0.017392524878035488,0.5948619,-406.73752,199.07188,-25.565947,18.27725,5.5232215,11.44168,12.410652,13.467914,13.782101,9.432968,15.516329,5.6884193,5.554815,2.6751392,2.2943976,-1.6950891,-4.1974254,-1.37433,-3.7071638,0.7352674
engine_idling,9.457012607101128e-05,1238.5154652969957,5.452284294508627,31.704327,0.4758204328854581,3.3856614,0.01947367058258156,2.414463,-400.723,196.41661,-26.04433,21.889126,5.7098765,12.271433,13.935465,14.2063,14.519668,9.999206,16.513092,6.870259,7.0337915,4.231831,3.0161023,-0.69484353,-2.599323,-0.1321811,-2.9432132,1.367267
engine_idling,0.00011094489217070309,1280.9797943369122,4.940588678807731,23.36752,0.48386467023667007,3.1707072,0.01977737727891475,2.3300958,-404.71494,202.97386,-33.23337,26.597748,0.9885177,14.579691,10.561804,15.414387,13.972545,9.71145,16.248621,5.3143306,8.258759,3.3153598,3.713156,-1.9060174,-2.0779474,-0.6519835,-2.8812416,1.4170451
engine_idling,0.0001236960567797375,1324.3788300780589,4.500986609114753,17.896717,0.49866250353929253,3.4552953,0.019300754164474486,0.60630184,-404.58603,204.46425,-34.25742,27.5964,-2.3463423,16.601782,6.575301,15.625139,11.899515,10.728855,15.352296,4.39024,7.6240506,1.8629128,2.8171952,-3.2503614,-2.8879025,-2.1591744,-3.0408602,0.31148824
engine_idling,0.00013120431759353835,1335.2130232725146,4.61852975972209,19.329924,0.5056487842045966,3.1287258,0.019500165822306736,0.65396196,-402.11362,202.85048,-32.847282,28.336477,-3.2973268,17.55487,5.993718,15.853372,11.253028,10.814637,15.062682,4.6511908,8.236278,1.6277238,2.4381478,-3.299057,-3.01429,-2.3687212,-2.9743054,0.356772
engine_idling,8.157595173426981e-05,1206.0556103861447,4.138816132867955,16.790323,0.44795319231842456,5.245792,0.015128068695504197,0.53384346,-423.09708,209.54837,-30.83955,22.191954,2.3822694,13.693941,8.809693,13.88752,11.955873,9.190247,17.07908,6.630937,6.249866,0.54131323,1.1307498,-3.7616148,-2.0203104,-0.6546959,-3.663495,-1.4786414
engine_idling,7.829181412431508e-05,1190.4936738445674,3.96609466238148,15.768392,0.4405125731935618,5.637515,0.014471871500589983,0.49963892,-426.71472,210.48695,-29.34336,22.777851,2.7430687,11.374655,8.352348,14.95241,13.413426,9.611062,16.686522,5.792305,5.35705,0.5412662,0.98518485,-4.1919174,-2.8504815,-1.685577,-3.94138,-1.4944633
engine_idling,9.517070565321929e-05,1243.319003925443,3.91733395104304,15.871824,0.4566649324305003,5.263516,0.01544229825179377,0.5614282,-421.0634,208.08968,-29.591467,24.305332,0.12676159,11.9302845,6.9855633,16.216648,13.802545,10.198367,16.46851,3.8431551,4.792688,0.23647447,0.8010973,-4.9360948,-2.1729715,-1.7201493,-4.4534683,-1.5760291
engine_idling,9.873378383688643e-05,1251.9217639714743,3.998779607039406,16.828428,0.46676990804765,4.9205294,0.015852839419784943,0.5757975,-419.35928,208.85066,-31.2214,25.565306,-1.0274451,14.442796,6.019077,15.990305,12.519414,10.702839,16.910524,3.923327,4.8117876,-0.80378205,0.48173317,-5.1300883,-1.4897088,-1.5078189,-4.118544,-1.4835963
engine_idling,9.042834900607519e-05,1224.68318274488,4.426355345284549,18.869854,0.5089824307727239,5.121504,0.01721233149966615,0.5938713,-411.51593,209.44774,-31.47061,24.738194,1.9124223,14.135849,8.307066,14.325044,12.145747,10.090295,17.723812,4.926755,5.519626,-0.35169992,0.35264587,-5.1941633,-2.691662,-1.2850702,-4.285662,-0.58477944
