class,mean_mfcc_0,mean_mfcc_1,mean_mfcc_2,mean_mfcc_3,mean_mfcc_4,mean_mfcc_5,mean_mfcc_6,mean_mfcc_7,mean_mfcc_8,mean_mfcc_9,mean_mfcc_10,mean_mfcc_11,mean_mfcc_12,mean_mfcc_13,mean_mfcc_14,mean_mfcc_15,mean_mfcc_16,mean_mfcc_17,mean_mfcc_18,mean_mfcc_19
dog_bark,-422.66644,85.29178,29.302881,4.2570524,-12.912392,-0.65207154,2.2274878,-7.006948,-9.543904,-5.175146,-6.24489,-5.6483283,1.9401965,-2.5021427,-1.8880792,3.921209,1.2327762,1.8353534,4.4608006,4.212963
dog_bark,-398.04755,115.30107,44.4909,7.053228,-22.04542,-4.346392,1.0143827,-13.975255,-18.518574,-14.0104,-14.934602,-9.411188,2.7870893,-3.0251465,-0.43748084,6.182849,-1.7801611,-4.5598097,-4.140972,-4.122017
dog_bark,-434.9947,65.42297,16.913364,5.2118025,-2.6484377,4.86465,2.8460782,-3.7639887,-3.9635484,-1.0313182,-1.0590687,-0.8477702,4.3984857,2.461928,-0.060871508,1.3318949,0.2940159,0.6446748,3.5926325,3.5306604
gun_shot,-425.8424,147.59387,22.322763,35.20702,-3.5906003,2.9524639,-4.9579744,0.3951801,1.5242878,3.733682,3.536168,2.5964823,-0.58473796,-0.70540226,0.6082732,5.8326263,7.9141483,5.4846935,5.725928,4.9025283
jackhammer,-219.58768,144.61113,-49.671486,52.820454,-22.0571,12.832976,-12.562679,15.251784,-11.736848,12.064217,-4.073768,1.5804291,-4.546717,1.7054626,0.22935598,-1.2104852,5.2504153,2.3304043,0.7657008,-2.0818977
jackhammer,-221.1688,138.1699,-48.36739,53.526096,-20.514294,14.760724,-13.421315,18.025288,-8.909504,14.851343,-2.2553003,2.5851429,-3.8473556,2.8975472,1.6309712,-0.73127747,5.9512615,3.7516365,2.0635893,-0.79630846
jackhammer,-221.21086,139.10371,-51.20705,51.05172,-20.487108,15.09588,-10.947729,19.355024,-7.157567,15.794205,-0.26964012,2.9177005,-3.8773615,2.677875,1.9894004,-0.055867013,5.8881044,6.315898,3.8159997,0.5766517
jackhammer,-226.57372,141.03096,-43.133095,54.620262,-21.242668,14.701834,-13.020059,15.741509,-10.646259,10.169251,-1.7244084,2.8923814,-4.636169,0.027534647,2.0736818,-1.3028722,3.4640281,6.709598,2.168259,-2.0363276
jackhammer,-225.45653,140.92705,-43.639057,57.2978,-21.05593,13.552636,-14.009298,15.042426,-11.903787,10.503893,-2.0696235,-0.27976426,-4.2567143,1.2909089,0.7954063,-1.0444465,3.4708102,5.766486,1.457304,-2.7584312
jackhammer,-214.67065,138.82463,-49.20726,58.766296,-21.774073,11.91085,-12.22796,15.224846,-12.859293,11.235823,-2.717373,-0.66317743,-4.999718,1.1933503,0.3489655,0.33638528,3.848804,6.4864597,1.1349033,-3.8969538
jackhammer,-213.88527,137.3491,-51.27164,58.275703,-21.569607,10.390029,-12.009719,15.044314,-12.736993,10.329994,-2.2154262,-1.7695667,-7.843585,0.3225564,0.37211567,0.5964304,4.3322034,6.9698343,0.868584,-3.9696252
jackhammer,-219.78624,139.34251,-49.449352,57.397816,-21.154097,9.201059,-13.062004,13.787354,-15.058407,9.004359,-3.5483742,-4.926146,-9.62413,0.5205412,-1.2794495,1.224894,5.8565636,6.483212,1.9396732,-1.8358896
jackhammer,-238.68433,145.60526,-40.678837,57.79828,-21.020681,14.556697,-14.010602,12.048443,-15.807873,8.816228,-1.4044414,-5.1245437,-10.074934,0.020648347,-1.7273924,2.324424,6.746727,6.190423,2.6260304,-1.785364
jackhammer,-272.7628,157.36766,-36.54993,55.990036,-20.123447,14.396728,-9.177627,10.968696,-11.532136,8.145898,1.1217971,-1.4152517,-7.1057153,-0.28635472,-0.19625153,3.2085512,7.861488,6.138228,0.8274621,-3.2436354
jackhammer,-233.23131,148.59715,-56.00458,55.25598,-23.68358,10.5453,-12.021895,10.531639,-11.678942,11.62838,-4.35975,4.405599,-7.4006886,0.98605454,1.8729162,2.8394315,5.7502337,4.249408,0.6872664,-2.9786599
jackhammer,-209.3615,136.21397,-57.86429,58.402042,-25.059536,16.450722,-10.507321,14.80226,-9.890438,13.100687,-1.6254237,2.643326,-9.916578,-0.69369704,-1.2932171,4.4801836,5.0690675,3.0167203,4.421733,-4.1468186
jackhammer,-218.06125,137.95009,-51.216583,62.515865,-23.794195,16.515797,-8.990576,14.774069,-10.0877695,12.425628,-3.4360108,1.8189373,-9.872517,0.587886,-2.534,5.297547,6.909768,2.2685945,3.5147963,-3.294185
jackhammer,-218.85744,138.50148,-48.612606,62.71095,-20.616625,15.666387,-7.9327283,11.45016,-8.424947,13.02132,-0.9387371,-2.645575,-10.160202,1.7171676,-0.33753622,3.7183127,8.771703,2.5948217,5.366988,-2.8835053
jackhammer,-237.6855,149.30981,-46.308426,57.78063,-18.708136,13.739785,-8.206076,8.611381,-7.6938453,12.559976,1.4730058,-4.997047,-8.663095,2.187718,0.6324779,2.6508195,8.625951,3.0590875,2.994277,-2.9886599
jackhammer,-210.62271,132.00237,-53.07287,57.825027,-23.987188,17.887249,-18.223211,11.818017,-10.80364,11.974977,1.9436381,3.2353528,-4.4165864,3.087394,2.3259623,2.031408,0.6937166,4.725572,3.1125953,-0.8255224
jackhammer,-203.75673,126.99695,-50.62948,62.885796,-22.011568,23.064648,-15.332842,11.126329,-9.856695,13.163148,1.4180164,1.5142171,-7.1072545,3.243401,2.0435407,0.9596329,-1.1557498,5.3471193,3.386223,-2.4684813
jackhammer,-198.97232,125.97326,-48.716797,67.82214,-22.278666,27.422613,-16.139296,13.699193,-12.869499,15.294504,-2.2573404,0.44675985,-7.4853787,2.6972103,0.37605593,-1.0062472,-2.089204,4.5828414,3.1082323,-2.6987064
jackhammer,-217.35318,130.52171,-43.468826,68.62698,-23.764908,27.788641,-17.524487,14.139663,-11.891246,14.564657,-2.4101775,-0.50490385,-6.871399,0.56985354,0.014872916,-1.1654367,0.19443065,4.0579715,2.8523054,-3.9050696
jackhammer,-230.53716,136.63332,-38.17837,68.51572,-25.181578,25.314417,-17.130077,12.229955,-11.105308,11.820726,-1.9354346,-1.393246,-6.4668183,0.9987238,-1.7018297,0.5230587,1.7470281,6.200315,3.724202,-3.9717784
jackhammer,-226.41344,140.35992,-36.58225,68.40409,-24.714527,23.787848,-15.747812,9.143985,-10.824342,12.32139,0.8827588,-2.821417,-4.4946427,1.0543599,-0.96148926,2.174882,3.9477367,8.2231,5.2163305,-3.1040657
jackhammer,-231.6688,147.8612,-39.84962,66.19629,-24.265783,23.743015,-11.709667,8.245627,-11.1853075,13.3909025,4.0335727,-1.3324904,-2.7632394,0.9517838,1.6573474,3.849923,4.4777474,7.582118,3.3100197,-3.059634
engine_idling,-488.37967,182.33644,-26.508583,32.530437,11.846435,13.992976,18.617405,12.714967,19.168753,11.945442,17.184448,8.75781,4.882094,6.318397,0.3185797,1.9757801,0.07737359,-1.6758409,-0.4634221,-1.4631003
engine_idling,-490.3087,188.51064,-32.412125,35.864677,7.3303924,16.011333,15.48035,14.312435,17.704224,12.485182,16.951775,8.1770315,4.5896564,4.745135,-0.3373893,-0.7715948,-0.38181162,-2.6219096,-0.7455474,-2.0407586
engine_idling,-491.1822,190.48595,-35.145878,34.737415,7.938652,15.206397,16.249962,15.167492,18.00628,12.826731,15.194149,7.192223,4.460821,5.2181816,0.17189488,-0.31195885,-0.4381755,-2.487658,-0.5545548,-2.9802778
engine_idling,-491.8053,191.91199,-37.56188,36.29644,4.6755137,16.249289,14.430096,16.541462,17.041702,13.835754,13.684067,6.523032,2.635285,5.2822866,-0.087666534,0.15241398,-0.9624861,-3.0659838,-0.73600125,-3.185169
engine_idling,-489.3327,192.82675,-37.392517,34.74331,4.6421676,14.550469,14.955535,15.621032,17.474009,13.23231,14.340809,5.9896903,3.0495312,5.4984584,1.1315361,0.95348173,-0.63570285,-3.2347045,-1.0923221,-3.1886668
engine_idling,-490.10413,193.49045,-37.66393,34.925568,3.74481,14.769377,15.211814,16.027897,16.96957,12.523315,13.700637,6.3459496,2.963467,5.8091426,1.470932,1.5597261,-1.1817822,-4.0608635,-2.2401314,-3.4332044
engine_idling,-490.09225,192.50177,-36.14037,34.631134,3.7649176,14.937812,16.624546,16.786837,18.498219,11.848669,14.210772,6.3200006,3.5808797,5.4556026,2.3758004,1.4357394,-1.0619578,-4.6245403,-2.3463116,-3.6959007
engine_idling,-471.4862,172.15819,-18.423216,23.73418,14.917961,10.226708,22.145563,15.200077,19.570076,14.075673,13.946599,9.090239,4.269915,7.48542,3.1631064,2.5667117,0.4579371,-2.6831083,-1.8273231,-2.2017353
engine_idling,-464.70016,169.43118,-19.898037,28.513807,14.65558,12.087298,23.415787,15.236611,20.642303,15.005303,15.148555,9.631574,5.0180516,7.8789616,3.396515,3.4163084,1.4154923,-2.3053033,-2.249762,-1.5335717
engine_idling,-464.88672,171.60678,-24.297062,32.36633,11.955822,14.008085,23.308266,14.69845,21.670431,13.970732,15.932535,8.570263,4.2474947,7.778875,3.5664802,3.860684,0.67505574,-3.090682,-3.1907759,-1.1459022
