class,mean_mfcc_0,mean_mfcc_1,mean_mfcc_2,mean_mfcc_3,mean_mfcc_4,mean_mfcc_5,mean_mfcc_6,mean_mfcc_7,mean_mfcc_8,mean_mfcc_9,mean_mfcc_10,mean_mfcc_11,mean_mfcc_12,mean_mfcc_13,mean_mfcc_14,mean_mfcc_15,mean_mfcc_16,mean_mfcc_17,mean_mfcc_18,mean_mfcc_19
dog_bark,-329.09442,141.29735,-68.93866,-32.083614,-3.7395892,7.374722,-17.058165,-13.151429,0.4240176,-7.28755,2.610551,8.003228,11.928799,7.354643,4.68076,2.2452805,-2.9484923,-1.967276,0.02314776,4.196161
dog_bark,-346.85663,141.26903,-69.38398,-42.74936,-0.21347772,6.930613,-16.643509,-16.265135,-1.0849054,-7.5312343,-0.776229,8.023905,10.900607,8.923712,5.590961,-0.448067,-5.8410506,-3.6918666,-1.6237915,2.3417025
dog_bark,-350.40036,135.25017,-59.614143,-45.351776,2.900544,6.750645,-18.025297,-16.71252,-2.4856606,-6.7747974,1.3914418,10.137491,8.954662,6.862868,4.315076,-0.45207158,-3.3333352,-1.7310766,-0.6622419,0.13331126
dog_bark,-346.23325,132.98633,-58.707336,-51.196087,5.7156243,5.4688673,-21.305902,-17.515425,-4.4679804,-6.758935,1.8921645,11.419168,12.006216,9.432865,3.7534003,-1.9125841,-5.0295796,-4.8278337,-0.41067487,2.723954
engine_idling,-202.11594,146.89352,-37.49738,31.48334,-4.578087,23.969707,9.741717,6.03553,9.139648,6.8502946,14.09822,6.0599113,11.038534,4.6722836,6.798284,1.1088225,2.4356966,12.471741,10.617379,9.348236
engine_idling,-200.67523,149.5069,-36.671703,32.451355,-4.347352,24.150776,8.861907,5.589104,8.884269,6.669204,12.800988,5.0864234,10.856939,4.815105,7.027136,1.0455853,2.7078524,12.038983,9.73356,8.848305
siren,-249.70894,195.46904,-74.570694,1.813894,-9.699266,-9.013195,3.4021962,-13.451936,-6.1618314,-6.5992947,-16.172316,-10.490731,-0.8671411,-0.13729021,3.856554,5.0174336,4.2792754,3.1533546,-2.6376312,0.20682864
siren,-245.80872,195.024,-75.451035,2.1644986,-12.054066,-7.490632,5.632989,-12.111003,-4.068976,-5.2621284,-17.344759,-11.86402,-1.2076222,0.79393303,5.686932,6.455283,4.578887,2.337701,-1.186692,0.665434
siren,-305.2046,190.66386,-47.299625,-11.895696,-9.076991,-1.420768,8.292768,-5.220839,-8.1566515,-2.7400599,-4.5466027,-5.4673448,1.3077564,-0.33254007,2.674984,2.270033,-2.5310345,-2.18825,-8.791398,-6.700948
siren,-314.4652,192.00299,-39.029312,-14.788165,-8.196993,2.3084948,7.634561,-3.3536918,-7.200173,-2.6404073,-2.1966007,-5.103643,1.3112333,-0.36986563,1.4233361,1.3692781,-2.4901783,-2.728166,-8.220655,-5.8595076
siren,-322.2554,192.37283,-33.895912,-17.519974,-7.0459146,5.9250484,7.2173553,-2.0836828,-5.5419955,-1.8374169,-0.18587293,-3.8583627,1.8057072,-0.34816658,0.11978145,0.9791895,-1.789048,-2.5902035,-6.808234,-4.052538
siren,-332.82037,189.5547,-30.289612,-20.063782,-6.5614033,9.471037,7.0540705,-2.693061,-4.126066,-1.3852298,0.7785493,-3.2214758,1.7737148,0.776215,-0.3610084,1.3387091,-0.8415962,-2.164949,-6.4943414,-4.4682007
siren,-342.20282,180.26474,-24.955032,-17.509079,-9.687447,12.163285,6.2076807,-2.8202217,-2.0877514,-1.0085446,0.3957906,-3.4623828,2.2716937,2.2482655,0.93880445,1.975305,-0.2855644,-3.0045877,-7.95808,-4.874222
siren,-350.56766,174.33841,-21.427069,-13.811264,-12.643515,10.8425255,8.277431,-3.0380917,-0.5244036,-1.5929742,-1.9219999,-3.3861094,1.032712,1.6211003,1.8848244,1.7096405,-1.257563,-4.6078534,-8.398909,-4.027217
siren,-246.50331,191.60136,-74.39009,2.4681976,-14.897385,-4.9641113,5.7172556,-11.78653,-2.1131237,-5.8122926,-15.228629,-12.127704,-2.7208474,2.0966806,4.1931753,5.971725,3.502844,0.351848,1.0834866,2.1809652
siren,-241.5558,190.28795,-76.47386,4.849713,-17.456491,-3.8678513,4.749261,-13.355147,0.006161057,-6.9437585,-12.416548,-9.927896,-2.3400939,2.898943,2.018003,4.438534,1.1915151,0.23771296,3.450104,2.9589915
siren,-241.92056,190.63858,-75.29792,4.948704,-18.60464,-2.2198086,4.866081,-13.040902,1.3128142,-6.6715984,-11.325868,-8.939809,-0.48764002,2.9174676,1.7346425,4.1283417,-0.38468876,-0.47863972,1.307349,1.798296
siren,-257.32556,188.64989,-69.29747,0.9612414,-17.276697,1.044941,6.564819,-11.616937,1.3662124,-4.5550156,-9.248103,-8.027788,0.486484,1.5985194,1.4388748,4.400552,-1.0706083,-2.3169663,-1.6737659,0.9844956
siren,-264.80807,188.47707,-65.32153,-0.6796381,-16.588284,0.8619406,7.5507092,-10.672713,-1.1012487,-3.025483,-8.132454,-6.837749,0.854065,-1.5389591,2.6494803,5.2643404,-2.0127633,-0.93650585,-2.3883622,-0.6685927
siren,-262.28973,187.72017,-66.29942,1.6897049,-17.916546,-2.1838515,10.18699,-9.92725,-3.7681024,-1.5314361,-7.705606,-6.373028,-0.41468224,-3.2434022,4.965763,4.582275,-1.9561899,-0.06007465,-6.5085444,-0.9136477
siren,-269.58615,188.8254,-64.35461,-1.13821,-16.464731,-2.8075442,10.082833,-9.628143,-2.6523483,-1.3552874,-7.077757,-3.9631062,0.20262964,-3.3593588,2.4659002,3.2513459,-2.021224,-1.8967777,-6.5374427,-0.37288368
siren,-287.61322,190.8327,-55.529892,-6.8422637,-12.335999,-2.1255608,8.1867895,-8.403446,-4.2839446,-1.8462993,-5.789322,-3.368006,2.1068683,-1.6672959,1.3300567,3.2018485,-2.3311996,-2.055882,-5.6650863,-3.2960052
drilling,-156.91069,32.002884,-62.944202,-3.7391493,-29.667776,-2.8662944,-23.295977,9.204612,0.08621427,4.850724,-3.1944928,3.096979,-8.61628,7.65218,-8.166786,5.259007,-1.6821066,10.320256,1.154872,12.526468
drilling,-128.62953,24.11232,-63.44708,-9.416935,-30.69443,-4.447241,-22.45442,5.6452756,-5.1896257,0.838757,-6.572897,0.63491094,-8.802733,8.460772,-8.406987,5.941399,-3.4457853,10.074832,0.6121952,12.091711
drilling,-152.52759,31.887997,-70.80099,-8.075243,-31.0676,-5.109321,-27.268345,8.258902,-4.167113,2.016649,-4.501694,3.8928843,-10.217303,7.2159996,-5.127914,3.298871,-6.826581,3.6331615,-3.4581428,7.580241
drilling,-217.89557,49.363564,-72.37229,-1.2630672,-26.495352,0.7598421,-24.28755,8.109219,-0.06791979,6.130225,-1.051681,5.155663,-5.774114,8.47999,-0.76962256,2.1875877,-7.509865,-0.03206612,-5.5050373,3.315006
