class,mean_mfcc_0,mean_mfcc_1,mean_mfcc_2,mean_mfcc_3,mean_mfcc_4,mean_mfcc_5,mean_mfcc_6,mean_mfcc_7,mean_mfcc_8,mean_mfcc_9,mean_mfcc_10,mean_mfcc_11,mean_mfcc_12,mean_mfcc_13,mean_mfcc_14,mean_mfcc_15,mean_mfcc_16,mean_mfcc_17,mean_mfcc_18,mean_mfcc_19
dog_bark,-372.5186,143.64366,-29.80681,-45.923035,-50.74146,-13.418539,-20.335447,-24.292515,-30.86314,-18.901606,-10.181731,-16.133688,-12.506355,-16.877708,-10.341781,-11.257753,-2.344335,1.217166,2.5358307,4.2226996
dog_bark,-379.6982,136.99539,-15.688032,-40.85466,-46.34029,-16.888935,-20.89673,-25.894632,-28.563814,-18.595695,-11.169208,-14.945431,-11.033512,-14.632984,-10.461226,-9.535901,-2.502786,1.0751128,1.4351897,2.8568108
dog_bark,-391.09195,129.54744,-16.01034,-36.190933,-41.941574,-11.2234745,-21.348793,-22.184097,-23.598726,-18.403744,-12.420145,-15.576925,-10.530122,-14.032902,-8.617624,-8.436952,-2.8725345,-1.175385,-1.4823121,-0.26462084
jackhammer,-103.731224,125.51897,-17.104717,67.211266,-23.782942,25.190657,-3.5222137,11.30288,-5.9562826,14.418291,-6.6988726,2.4922194,2.6892617,3.646641,-3.6333103,2.4062176,-3.3478823,4.101616,-1.8644713,7.1115675
jackhammer,-95.0211,119.35763,-15.902263,77.20208,-19.642965,30.300295,-3.4416058,12.304933,-7.07908,16.30056,-7.2015667,1.766656,1.7688755,1.9509982,-6.679846,2.6616998,-4.53922,4.292504,-1.163462,7.621439
jackhammer,-102.4071,120.08409,-14.434123,78.59281,-16.039276,31.736847,-2.4781926,12.171334,-5.729689,16.841393,-7.572867,2.3462062,2.364068,2.4167607,-7.788042,4.797391,-4.9495173,3.501973,-0.85421276,6.142846
jackhammer,-126.96729,122.09483,-18.198513,76.17248,-14.180368,31.808294,-2.823583,13.02032,0.089314245,14.259975,-3.323484,5.059357,3.7081103,3.8547895,-5.0827355,2.9458992,-2.3018646,3.0044837,-0.28329548,4.8356524
siren,-313.48715,137.14384,-26.441517,-43.414608,-23.875153,-32.56643,-12.229931,19.51832,23.191753,10.874571,-2.139783,-9.758364,-7.1930933,4.4614997,12.025445,2.8577423,-8.571874,-6.4994946,-2.7333293,-2.7679398
dog_bark,-161.5293,178.22385,-63.4381,-0.28726155,-14.910784,-17.100283,-22.138086,-21.910631,-9.498538,-12.208764,-17.782372,-8.073202,-3.4751103,-3.8235781,4.9303975,5.3410816,1.4163681,6.012332,7.5007873,14.084697
dog_bark,-547.5101,64.45313,-14.339478,-12.299731,1.8598571,13.711561,6.055721,8.889949,9.04638,3.418156,0.38347265,0.98971653,-0.100665994,2.4352536,-0.8790163,4.7194276,3.021967,1.8858994,2.3938565,2.1957562
dog_bark,-487.29987,52.842953,-18.103292,-19.320002,-4.914715,8.849261,5.331352,8.003765,8.318266,1.9553425,-1.469674,-0.480884,1.0765662,1.4788995,-0.48551273,4.413522,3.4484177,1.1016285,1.1434621,2.371893
dog_bark,-535.7818,43.02013,-6.775316,-7.234163,4.133293,11.2103405,7.418876,7.3653646,7.022911,3.0217767,-0.33301085,0.70605487,2.527082,3.7474651,2.41454,4.854217,3.8879378,1.8839281,1.8789243,2.2249646
dog_bark,-529.367,75.29665,-0.17482062,-14.77606,-2.9378343,10.269792,7.0741806,2.4734151,1.1732014,0.8175624,-0.13482454,1.0761755,1.7878973,1.7416631,1.1051949,2.4724948,1.6667311,1.5966953,1.1067498,1.3370866
dog_bark,-138.04326,161.7904,-26.569931,-6.189187,-28.996956,-13.446971,-10.544655,-2.8978736,-6.760563,3.627201,-5.92919,0.7884245,1.0750092,4.7023926,-3.7284155,-3.6405127,-4.4615846,3.8270195,9.993069,14.041997
dog_bark,-410.26233,82.2758,13.189205,3.1659672,-3.914403,-3.3149643,-6.315078,3.243027,3.0924163,6.2473116,6.093459,9.002015,3.605322,6.3791566,5.3020277,-1.9163927,-8.132684,-6.40214,-5.3401647,-5.9702125
